ts(s),tx(m),ty(m),tz(m),qx,qy,qz,qw
0.000000,0.136340,0.032570,0.032340,0.008356,0.370025,0.928748,0.020974
0.033333,0.136340,0.032570,0.032340,0.008356,0.370025,0.928748,0.020974
0.066667,0.136060,0.032720,0.032730,0.007815,0.369350,0.929050,0.019657
0.100000,0.135890,0.032800,0.032950,0.007548,0.369999,0.928808,0.018947
0.133333,0.135600,0.032970,0.033390,0.007278,0.369990,0.928827,0.018272
0.166667,0.135440,0.033120,0.033690,0.006739,0.369975,0.928863,0.016920
0.200000,0.135310,0.033270,0.033980,0.006739,0.369975,0.928863,0.016920
0.233333,0.135190,0.033390,0.034230,0.006470,0.369968,0.928880,0.016244
0.266667,0.134880,0.033590,0.034670,0.005661,0.369948,0.928927,0.014215
0.300000,0.134730,0.033620,0.034830,0.005122,0.369936,0.928954,0.012862
0.333333,0.134570,0.033610,0.034960,0.004581,0.369268,0.929240,0.011529
0.366667,0.134420,0.033590,0.035040,0.004042,0.369258,0.929262,0.010173
0.400000,0.134200,0.033630,0.035110,0.002695,0.369239,0.929306,0.006783
0.433333,0.134130,0.033700,0.035130,0.002426,0.369237,0.929312,0.006105
0.466667,0.134060,0.033800,0.035130,0.001887,0.369232,0.929323,0.004748
0.500000,0.134030,0.033910,0.035140,0.001348,0.369886,0.929070,0.003386
0.533333,0.134010,0.034050,0.035160,0.001078,0.370880,0.928676,0.002700
0.566667,0.133980,0.034350,0.035190,0.000540,0.373171,0.927761,0.001343
0.600000,0.133980,0.034460,0.035210,0.000270,0.374162,0.927363,0.000669
0.633333,0.133980,0.034610,0.035220,0.000270,0.376131,0.926566,0.000666
0.666667,0.133960,0.034700,0.035200,0.000271,0.377768,0.925900,0.000663
0.700000,0.133960,0.034810,0.035180,0.000000,0.380394,0.924825,0.000000
0.733333,0.134080,0.035040,0.035170,0.000000,0.384645,0.923064,0.000000
0.766667,0.134220,0.035160,0.035150,0.000000,0.387582,0.921835,0.000000
0.800000,0.134410,0.035390,0.035130,0.000000,0.390841,0.920458,0.000000
0.833333,0.134650,0.035680,0.035090,-0.000272,0.393777,0.919206,-0.000636
0.866667,0.135340,0.036590,0.034800,0.000547,0.401255,0.915965,0.001248
0.900000,0.135340,0.036590,0.034800,0.000547,0.401255,0.915965,0.001248
0.933333,0.136060,0.038140,0.034300,0.001648,0.409698,0.912212,0.003668
0.966667,0.136380,0.038900,0.034020,0.002476,0.413268,0.910590,0.005456
1.000000,0.136660,0.039640,0.033830,0.003030,0.416487,0.909112,0.006614
1.033333,0.137050,0.040790,0.033490,0.004141,0.421331,0.906854,0.008913
1.066667,0.137190,0.041140,0.033360,0.004696,0.423255,0.905943,0.010052
1.100000,0.137310,0.041420,0.033260,0.004978,0.424884,0.905172,0.010606
1.133333,0.137400,0.041640,0.033160,0.004984,0.426509,0.904408,0.010570
1.166667,0.137500,0.041960,0.033070,0.005269,0.428774,0.903328,0.011100
1.200000,0.137530,0.042110,0.033050,0.005270,0.429411,0.903026,0.011082
1.233333,0.137550,0.042270,0.033030,0.005271,0.430047,0.902723,0.011064
1.266667,0.137550,0.042450,0.033020,0.004712,0.429689,0.902910,0.009902
1.300000,0.137550,0.042600,0.032990,0.004439,0.430037,0.902752,0.009318
1.333333,0.137570,0.042900,0.032970,0.003885,0.430667,0.902466,0.008140
1.366667,0.137590,0.043000,0.033000,0.003885,0.430667,0.902466,0.008140
1.400000,0.137610,0.043070,0.033040,0.003607,0.430665,0.902473,0.007559
1.433333,0.137630,0.043110,0.033090,0.003330,0.430662,0.902480,0.006978
1.466667,0.137670,0.043120,0.033250,0.003052,0.430024,0.902789,0.006407
1.500000,0.137670,0.043120,0.033250,0.003052,0.430024,0.902789,0.006407
1.533333,0.137700,0.043080,0.033470,0.002771,0.428399,0.903567,0.005844
1.566667,0.137710,0.043050,0.033560,0.002495,0.428111,0.903708,0.005268
1.600000,0.137690,0.042980,0.033730,0.002213,0.425497,0.904945,0.004707
1.633333,0.137670,0.042940,0.033780,0.002213,0.424858,0.905245,0.004715
1.666667,0.137630,0.042910,0.033830,0.002212,0.424220,0.905544,0.004722
1.700000,0.137590,0.042860,0.033890,0.002212,0.423581,0.905843,0.004730
1.733333,0.137540,0.042820,0.033960,0.001933,0.422592,0.906308,0.004146
1.766667,0.137420,0.042680,0.034120,0.001379,0.420964,0.907072,0.002972
1.800000,0.137350,0.042600,0.034210,0.001104,0.420029,0.907507,0.002385
1.833333,0.137300,0.042520,0.034300,0.000828,0.419387,0.907805,0.001792
1.866667,0.137260,0.042430,0.034380,0.000276,0.419041,0.907967,0.000597
1.900000,0.137200,0.042300,0.034530,0.000000,0.418399,0.908263,0.000000
1.933333,0.137200,0.042300,0.034530,0.000000,0.418399,0.908263,0.000000
1.966667,0.137130,0.042210,0.034760,-0.000827,0.417759,0.908556,-0.001798
2.000000,0.137080,0.042140,0.034930,-0.001103,0.417463,0.908690,-0.002401
2.033333,0.137030,0.042050,0.035150,-0.001378,0.416822,0.908982,-0.003006
2.066667,0.136930,0.041840,0.035570,-0.002477,0.416138,0.909282,-0.005412
2.100000,0.136900,0.041720,0.035750,-0.002752,0.415498,0.909570,-0.006023
2.133333,0.136820,0.041630,0.036050,-0.003579,0.415207,0.909686,-0.007842
2.166667,0.136820,0.041630,0.036050,-0.003579,0.415207,0.909686,-0.007842
2.200000,0.136730,0.041650,0.036410,-0.004404,0.414574,0.909954,-0.009666
2.233333,0.136680,0.041740,0.036630,-0.004679,0.414577,0.909944,-0.010270
2.266667,0.136630,0.041830,0.036870,-0.005500,0.414245,0.910068,-0.012084
2.300000,0.136580,0.041890,0.037130,-0.006053,0.413312,0.910472,-0.013333
2.333333,0.136520,0.042040,0.037400,-0.006878,0.413327,0.910431,-0.015149
2.366667,0.136470,0.042210,0.037640,-0.007696,0.413001,0.910540,-0.016968
2.400000,0.136360,0.042610,0.037960,-0.009628,0.413392,0.910255,-0.021200
2.433333,0.136330,0.042790,0.038070,-0.009897,0.413699,0.910099,-0.021772
2.466667,0.136300,0.042920,0.038150,-0.010455,0.414058,0.909900,-0.022975
2.500000,0.136270,0.043050,0.038200,-0.011014,0.414419,0.909698,-0.024177
2.533333,0.136240,0.043190,0.038230,-0.011567,0.415079,0.909359,-0.025341
2.566667,0.136210,0.043260,0.038230,-0.011852,0.415432,0.909177,-0.025938
2.600000,0.136180,0.043320,0.038200,-0.012120,0.415740,0.909017,-0.026500
2.633333,0.136170,0.043370,0.038170,-0.012123,0.416382,0.908724,-0.026457
2.666667,0.136100,0.043500,0.038150,-0.012687,0.417387,0.908221,-0.027606
2.700000,0.136080,0.043570,0.038140,-0.012689,0.418028,0.907927,-0.027560
2.733333,0.136070,0.043670,0.038150,-0.012682,0.418324,0.907792,-0.027520
2.766667,0.136070,0.043810,0.038170,-0.012687,0.419604,0.907204,-0.027430
2.800000,0.136100,0.043990,0.038210,-0.012708,0.420297,0.906883,-0.027420
2.833333,0.136180,0.044570,0.038380,-0.013003,0.424780,0.904779,-0.027695
2.866667,0.136210,0.044840,0.038500,-0.013298,0.427050,0.903692,-0.028140
2.900000,0.136210,0.045050,0.038610,-0.013879,0.429043,0.902705,-0.029202
2.933333,0.136210,0.045240,0.038720,-0.014445,0.431604,0.901443,-0.030169
2.966667,0.136250,0.045450,0.038870,-0.015306,0.435787,0.899365,-0.031588
3.000000,0.136270,0.045540,0.038930,-0.015324,0.437405,0.898583,-0.031480
3.033333,0.136290,0.045650,0.038960,-0.015623,0.439663,0.897461,-0.031890
3.066667,0.136320,0.045710,0.038980,-0.015932,0.441644,0.896466,-0.032340
3.100000,0.136360,0.046010,0.039070,-0.016229,0.446053,0.894268,-0.032537
3.133333,0.136360,0.046010,0.039070,-0.016229,0.446053,0.894268,-0.032537
3.166667,0.136420,0.046410,0.039230,-0.017107,0.449926,0.892257,-0.033926
3.200000,0.136430,0.046690,0.039330,-0.017686,0.451553,0.891386,-0.034914
3.233333,0.136440,0.047160,0.039430,-0.018594,0.454894,0.889609,-0.036362
3.266667,0.136420,0.047320,0.039440,-0.019445,0.456789,0.888558,-0.037824
3.300000,0.136390,0.047440,0.039420,-0.020028,0.458413,0.887667,-0.038782
3.333333,0.136370,0.047490,0.039400,-0.020894,0.460045,0.886736,-0.040273
3.366667,0.136350,0.047520,0.039370,-0.021481,0.462283,0.885517,-0.041148
3.400000,0.136300,0.047710,0.039350,-0.022957,0.466509,0.883150,-0.043460
3.433333,0.136280,0.047860,0.039370,-0.023564,0.468489,0.882040,-0.044365
3.466667,0.136280,0.048050,0.039400,-0.023891,0.471071,0.880640,-0.044663
3.500000,0.136270,0.048210,0.039410,-0.024503,0.473660,0.879191,-0.045481
3.533333,0.136260,0.048360,0.039430,-0.025116,0.476246,0.877733,-0.046289
3.566667,0.136230,0.048520,0.039400,-0.026326,0.481036,0.874996,-0.047887
3.600000,0.136190,0.048550,0.039360,-0.027512,0.483026,0.873757,-0.049767
3.633333,0.136140,0.048650,0.039350,-0.028131,0.485596,0.872268,-0.050531
3.666667,0.136070,0.048840,0.039340,-0.030826,0.490548,0.869154,-0.054618
3.700000,0.136050,0.048940,0.039340,-0.032048,0.492903,0.867662,-0.056414
3.733333,0.136000,0.049090,0.039350,-0.033825,0.496092,0.865601,-0.059019
3.766667,0.136000,0.049190,0.039340,-0.034767,0.498430,0.864133,-0.060275
3.800000,0.135970,0.049360,0.039350,-0.036288,0.500787,0.862548,-0.062501
3.833333,0.135940,0.049560,0.039390,-0.036948,0.503113,0.861112,-0.063239
3.866667,0.135850,0.049930,0.039520,-0.038854,0.508362,0.857765,-0.065559
3.900000,0.135780,0.050150,0.039580,-0.039811,0.511272,0.855906,-0.066646
3.933333,0.135710,0.050350,0.039680,-0.040740,0.513217,0.854603,-0.067840
3.966667,0.135650,0.050520,0.039740,-0.041670,0.515736,0.852954,-0.068917
4.000000,0.135580,0.050730,0.039790,-0.042374,0.518420,0.851237,-0.069577
4.033333,0.135500,0.051110,0.039930,-0.044016,0.523032,0.848178,-0.071379
4.066667,0.135480,0.051310,0.040000,-0.044628,0.525139,0.846793,-0.071963
4.100000,0.135440,0.051560,0.040080,-0.045341,0.527242,0.845385,-0.072699
4.133333,0.135420,0.051800,0.040160,-0.045368,0.529324,0.844111,-0.072348
4.166667,0.135320,0.052350,0.040360,-0.045851,0.533309,0.841573,-0.072353
4.200000,0.135240,0.052590,0.040410,-0.046530,0.536149,0.839684,-0.072872
4.233333,0.135180,0.052750,0.040450,-0.046885,0.538036,0.838439,-0.073062
4.266667,0.135120,0.052920,0.040460,-0.047270,0.540857,0.836596,-0.073117
4.300000,0.135080,0.053060,0.040470,-0.047692,0.543499,0.834846,-0.073258
4.333333,0.135020,0.053360,0.040470,-0.049094,0.548944,0.831099,-0.074328
4.366667,0.135000,0.053470,0.040430,-0.049554,0.551955,0.829066,-0.074432
